"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 12 20:24:49 GMT+07:00 2024","Sun May 12 20:25:37 GMT+07:00 2024","47418","","","","","","order",""
"passed","Sun May 12 20:26:41 GMT+07:00 2024","Sun May 12 20:26:56 GMT+07:00 2024","14466","","","","","","BlankAddress",""
"passed","Sun May 12 20:26:28 GMT+07:00 2024","Sun May 12 20:26:41 GMT+07:00 2024","13124","","","","","","PhoneExisted",""
"passed","Sun May 12 20:25:12 GMT+07:00 2024","Sun May 12 20:25:30 GMT+07:00 2024","17594","","","","","","BlankName",""
"passed","Sun May 12 20:24:55 GMT+07:00 2024","Sun May 12 20:25:12 GMT+07:00 2024","17180","","","","","","BlankAll",""
"passed","Sun May 12 20:20:52 GMT+07:00 2024","Sun May 12 20:21:19 GMT+07:00 2024","26343","","","","","","DisplayLogin",""
"passed","Sun May 12 20:23:18 GMT+07:00 2024","Sun May 12 20:24:49 GMT+07:00 2024","91707","","","","","","cart",""
"passed","Sun May 12 20:22:54 GMT+07:00 2024","Sun May 12 20:23:13 GMT+07:00 2024","18822","","","","","","BlankPassword",""
"passed","Sun May 12 20:21:49 GMT+07:00 2024","Sun May 12 20:22:48 GMT+07:00 2024","59072","","","","","","categorytab",""
"passed","Sun May 12 20:23:45 GMT+07:00 2024","Sun May 12 20:24:29 GMT+07:00 2024","43320","","","","","","Login",""
"passed","Sun May 12 20:26:56 GMT+07:00 2024","Sun May 12 20:27:12 GMT+07:00 2024","16131","","","","","","BlankPassword",""
"passed","Sun May 12 20:20:52 GMT+07:00 2024","Sun May 12 20:21:49 GMT+07:00 2024","57058","","","","","","browsers",""
"passed","Sun May 12 20:21:37 GMT+07:00 2024","Sun May 12 20:22:37 GMT+07:00 2024","59848","","","","","","DisplayHome",""
"passed","Sun May 12 20:22:48 GMT+07:00 2024","Sun May 12 20:23:18 GMT+07:00 2024","29171","","","","","","product",""
"passed","Sun May 12 20:23:13 GMT+07:00 2024","Sun May 12 20:23:45 GMT+07:00 2024","32780","","","","","","BlankEmailPassword",""
"passed","Sun May 12 20:25:50 GMT+07:00 2024","Sun May 12 20:26:09 GMT+07:00 2024","19388","","","","","","EmailExisted",""
"passed","Sun May 12 20:22:37 GMT+07:00 2024","Sun May 12 20:22:54 GMT+07:00 2024","16639","","","","","","BlankEmail",""
"passed","Sun May 12 20:24:29 GMT+07:00 2024","Sun May 12 20:24:55 GMT+07:00 2024","26426","","","","","","Logout",""
"passed","Sun May 12 20:26:09 GMT+07:00 2024","Sun May 12 20:26:28 GMT+07:00 2024","18835","","","","","","BlankPhone",""
"passed","Sun May 12 20:27:25 GMT+07:00 2024","Sun May 12 20:27:38 GMT+07:00 2024","13042","","","","","","WrongRePassword",""
"passed","Sun May 12 20:21:19 GMT+07:00 2024","Sun May 12 20:21:37 GMT+07:00 2024","18605","","","","","","DisplaySignup",""
"passed","Sun May 12 20:27:12 GMT+07:00 2024","Sun May 12 20:27:25 GMT+07:00 2024","12669","","","","","","BlankRePassword",""
"passed","Sun May 12 20:25:30 GMT+07:00 2024","Sun May 12 20:25:50 GMT+07:00 2024","19903","","","","","","BlankEmail",""
